	genome_group	genome_hash	count	n_count	Fraction	dataset	Station	Latitude	Longitude	Depth	PE_read_count	genome_name	genome_size
12	Cyanophage	a1a4484522e7f197e93087a5e39ad10b	59	0.393532440883	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620812_6831 /station=TARA_064 /depth=5 /filter=0-0.22	6038
13	Uncultured_phage	1720ce7f2bdc976e6eb702ea762b0a67	2242	1.8726130774	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__156190_phage	48218
14	MGII	68d4fc2ce4bcbf4e9c72d6eb7f486574	1157	1.04182538648	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__162378	44726
15	MGII	6b869cfde771592b82279c412c5aca77	4921	2.19189681162	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__1209332	90418
16	MGII	4a1743f8da64feca9e97662122c1ba53	3526	1.05228716586	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__172500	134949
17	Uncultured_phage	facfc719c79f973070be0afa9116cc53	691	0.480011271389	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__176529_SAR116_phage	57976
18	SAR11	34b42784973a37a0c72b7383a24a57ee	7702	0.234279636422	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence	1324008
19	SAR116	29c75c5631de23c1827c89ceaf340705	1936	0.0283163746598	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|294083570|ref|NC_014010.1| Candidatus Puniceispirillum marinum IMCC1322, complete genome	2753527
20	Cyanophage	044bab88ff99ff923efde82fbd605c6e	834	0.174487259392	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|472341521|ref|NC_020855.1| Cyanophage P-RSM6 genomic sequence	192497
21	Euryarchaeota	f85a93f6b10cbaf17d539d22e9332b7f	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822973|dbj|BBBE01000036.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00036, whole genome shotgun sequence	1091
22	Cyanophage	0c92188f8bed66f363e58b34fe2c9bf5	81	0.0705883605313	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|148724443|ref|NC_009531.1| Cyanophage Syn5, complete genome	46214
23	MGII	38fb5b9fa398b72ad1841fcebd6378d0	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|663515939|gb|KF900769.1| Uncultured marine group II/III euryarchaeote KM3_192_B10 genomic sequence	42084
24	Synechococcus	f1eb2c1bca17fba504a38cb916f5c892	392	0.00706420997079	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome	2234828
25	Prochlorococcus	3a7029d4297604cd7c5288ec6bc85724	30635	0.744145079069	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome	1657990
26	MGII_virus	8247b1bb85c6a05834b51271f0c5ef23	3	0.00114383619298	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620014_23	105628
27	Uncultured_phage	017fff5f96c4e9f3ecfb78ef0d0c1341	2203	1.58038800648	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__158275_phage	56140
28	Cyanophage	d450b0c9a0999d85ad1940b3e7b00aef	4	0.023972446308	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620004_3044 /station=TARA_038 /depth=5 /filter=0.1-0.22	6720
29	Euryarchaeota	7cdb38d70dd2e1def9f3633410d690fa	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822992|dbj|BBBE01000017.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00017, whole genome shotgun sequence	24006
30	MGII	c3440cf054721023133f4642eee1593b	3357	0.943941434567	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__156257	143228
31	MGII_virus	533ef7cb50513d7f06eb2ddb93ff3423	3	0.00117901878872	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2621173_6	102476
32	MGII_virus	b18af36ea2e34feba618d892a21af8e8	114	0.0477772531314	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__154592	96096
33	Cyanophage	3d23d5e775497479041e467f98ef0a52	20	0.0981089154628	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2622656_647526 /station=TARA_122 /depth=5 /filter=0.1-0.22	8210
34	MGII_virus	79ef58e8896a8180fade5d68efe79d72	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620947_256	107544
35	MGII_virus	c85469d5670f460cf1d2794478ed34b4	47	0.0185476743732	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__154680	102054
36	MGII_virus	5e4a7cf8ce806279a14e631ee78c9323	5	0.00206275851494	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620879_17	97621
37	Cyanophage	96be44ae1056b4b10926847e9eb4acce	68	0.0573639485186	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|372217768|ref|NC_016658.1| Cyanophage NATL1A-7, complete genome	47741
38	MGII_virus	25dcd4c18adf16377c21a5e90dc13fa8	87	0.0580890074668	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__154940	60318
39	Euryarchaeota	9f2a5a4f25b2a444982caa0684a5ddec	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822994|dbj|BBBE01000015.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00015, whole genome shotgun sequence	30537
40	Uncultured_phage	ce5f13eddf742fd215830ac8d2cc1cd7	210	0.172081855975	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__156547_phage	49148
41	MGII	579f11f66207bda055fe72553d706e14	1054	0.90868883261	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__156895	46714
42	MGII	6b480bfc649fd78b62cca13a98f92f16	5263	1.19525493932	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__172446	177335
43	MGII_virus	67cac3c5a6b8923c8f2e4dcb0163be26	123	0.0508736218327	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2622821_47	97372
44	MGII_virus	067818cbe750e84a2079e8976e77f2c3	10	0.00375330467256	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620384_30	107302
45	Crenarchaeota	10bec8571527712ce29ca5fa18e2414f	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|756979970|ref|NZ_KI911318.1| Desulfurococcus amylolyticus Z-533 genomic scaffold scaffold1, whole genome shotgun sequence	1307099
46	MGII	54b4685d31d999a744f3b643815f624a	2785	1.32190458091	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__157638	84849
47	SAR116	ff3c408860c04d599bec0bca75c9f77e	45	0.0492772021558	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	NZ_AFXB01000005.1 SAR116 cluster alpha proteobacterium HIMB100 contig5, whole genome shotgun sequence	36778
48	Euryarchaeota	4ebf00dd5dbea5a9f83d29b9cc546ad7	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822993|dbj|BBBE01000016.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00016, whole genome shotgun sequence	28413
49	MGII	3339359fdd6969f587a25e51167e9a05	349	1.09980631607	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__402642	12780
50	MGII	c756c8241cb7523552193850f2fe0665	25	0.415535594279	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__3236544	2423
51	MGII_virus	389fd651c4ca3b76da9a807a2b49a3f9	109	0.0516700334035	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	X_contig__155773 DNApol similar to the split but is not a split	84959
52	MGII	e5aad4e3a39e2da75e5220fb0a901c2f	608	1.01523344902	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__1209387	24119
53	MGII	a70e8a02337fcd124857e3149c4ed229	1278	0.872709719402	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__156469	58977
54	Cyanophage	2af8aea700d4534ade0ffe6b9c7e6e00	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|356870794|ref|NC_016164.1| Synechococcus phage S-CBS1, complete genome	30332
55	Cyanophage	bfd475119efb1baa1c91a4409c3239b0	106	0.0945413185369	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2619791_458 /station=TARA_025 /depth=50 /filter=0-0.22	45155
56	MGII_virus	77cc87d0c3db21870ba195f3dd9ae65f	221	0.0798715831224	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2591132_39	111435
57	MGII_virus	301d83db1d76369d2b53d4acf18f1e46	20	0.00872764325441	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2621151_104	92290
58	MGII_virus	ed0f28e0337de62bc80ef96dae65c523	1	0.000364586741359	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620879_92	110464
59	Euryarchaeota	7256396477ada3c26f22096fa46a25df	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932823001|dbj|BBBE01000008.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00008, whole genome shotgun sequence	83999
60	MGII_virus	021526ee7d2b6443a61822ee165426e4	43	0.0163254352579	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2622799_215	106078
61	Halovirus	f0a09d1f6102da0977952375b4475e56	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|509140160|ref|NC_021327.1| Halovirus HCTV-5, complete genome	102105
62	Crenarchaeota	eaa5b12e32fc179a2ba580563c42833e	21	0.000514051529727	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|160338813|gb|CP000866.1| Nitrosopumilus maritimus SCM1, complete genome	1645259
63	MGII	8e73b3a8a5f66fba0e53c10d537cb429	1051	0.020506240382	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	ENA|CM001443|CM001443.1 uncultured marine group II euryarchaeote chromosome, whole genome shotgun sequence. 	2064136
64	MGII	0e5e80ff656568ea45afbb2880337647	3210	2.35103310631	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__160241	54988
65	SAR11	658393987e8720edadbe9513b44d4c7c	18469	0.540932865656	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence	1375060
66	Uncultured_phage	07289743cc9f6cb00a56a665f2a3b005	86	0.0724423049629	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__160110_phage	47811
67	Uncultured_phage	8dfacd6f21a76f3b50ae70ce334c0503	396	0.22315114357	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__156293_SAR116_phage	71469
68	MGII	a8b6137ae2453c67945e42dd2d56dd0c	6841	2.54392761652	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__158556	108302
69	Cyanophage	f75ea644ef589a74e11eeb1ac354dfca	1	0.00634931574925	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2621173_4401 /station=TARA_072 /depth=100 /filter=0-0.22	6343
70	Cyanophage	96a7b1bbf4b54b267e559ad999f994c8	159	0.0367416579614	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|326783215|ref|NC_015285.1| Prochlorococcus phage Syn33, complete genome	174285
71	SAR11	8e11ad3e05b209639eb00032621b696c	13325	0.410042783317	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome	1308759
72	Cyanophage	d22a0af4a7860a53341e5edda689e011	12	0.0436492519481	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2621173_2106 /station=TARA_072 /depth=100 /filter=0-0.22	11072
73	MGII_virus	a7dd04ecfd3ceaa945fede92d37f230b	3	0.00126222176317	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2621151_45	95721
74	MGII_virus	63be4f1f9347ff68268e519c05affbbf	466	0.349410723221	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__154676 Group B? Split DNA pol  Candidate tRNA Predictions in BED format:	53712
75	MGII_virus	1d0c8edc90633df0840edcb1970241b8	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2619923_17	102781
76	Euryarchaeota	131b46c04662b2796c71166a0003fa15	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932823003|dbj|BBBE01000006.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00006, whole genome shotgun sequence	90645
77	MGII	7726354a5e13671052ad42e070483dac	1197	0.927372999396	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__154776	51983
78	SAR11	8c6a88095c19dea562223f8fda8afc3e	34232	0.961662287599	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence	1433611
79	Euryarchaeota	a16941d6e2509ea3764b2a64742c322a	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822977|dbj|BBBE01000032.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00032, whole genome shotgun sequence	1449
80	MGII_virus	567c49bf8de1d40115dfb0c376a64192	8	0.00351843007011	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2621033_64	91572
81	MGII	2487ad689f0700fdf0386f4abc4bf57c	4573	1.18930158084	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__156027	154857
82	MGII	ef3cc855ea2a03e5ec98be24202b5624	714	2.01044737435	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__412943	14303
83	SAR116_Phage	6cac5ef27b5bb375bad180ca8be5b842	27	0.0196698774381	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|526244935|ref|NC_021864.1| Puniceispirillum phage HMO-2011, complete genome	55282
84	MGII_virus	68b78412a7f11f18f4a50f5605957f04	444	0.292502038998	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__172037	61133
85	SAR116	5d9ed38b79c583a0b30811a9ed0939f0	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|294083570:675264-676151 Candidatus Puniceispirillum marinum IMCC1322, complete genome	888
86	Euryarchaeota	e39653a22439cd6ec1e9b5136bcb072e	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822989|dbj|BBBE01000020.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00020, whole genome shotgun sequence	5883
87	MGII_virus	9910c3ed60ea261e51c35c08abf62ee5	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620078_38	94102
88	Euryarchaeota	d00c6b9330b2ca7da9c58e995760881e	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822971|dbj|BBBE01000038.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00038, whole genome shotgun sequence	714
89	Uncultured_phage	1d04b5164cb58543f68e2454476252dd	15	0.0116109409553	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__155256_phage	52029
90	MGII	3495d2881ab44b4bf0169752d3620be3	5906	2.03188507	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__175248	117062
91	Cyanophage	f6a091806a6079ca9234537b2177b76d	28	0.110101920946	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2622799_4583 /station=TARA_124 /depth=120 /filter=0.1-0.22	10242
92	MGII_virus	cad91562d22fd21280ae3941b8d0e1c9	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2621085_54	96049
93	Synechococcus	294a3f47a65c5a1743e833ae95d0f637	459	0.00709145371821	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome	2606748
94	SAR11	7f5d1435b7cf76f187f136ea9c973228	37173	1.07317225606	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence	1395018
95	Uncultured_phage	f0486fcdb1a26658929548dc282955d6	41	0.0248124977715	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__152381_phage	66548
96	Euryarchaeota	b67c4a47e31e0bd3c8712ea6940bec3e	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822979|dbj|BBBE01000030.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00030, whole genome shotgun sequence	1955
97	Cyanophage	b6045dd7874016ed8077ecf5f498ed7c	26	0.072550159685	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620078_1066 /station=TARA_039 /depth=5 /filter=0-0.22	14433
98	MGII	2b2dce9ced89e317e51e37c5660ba588	790	1.14171711128	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__156581	27867
99	Euryarchaeota	17d1fbfc42024b86a59a24bb16b1d787	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932823004|dbj|BBBE01000005.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00005, whole genome shotgun sequence	96478
100	Cyanophage	ad681e8899b1410519cd465733d106cd	11	0.0499335896948	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2622694_4368 /station=TARA_122 /depth=115 /filter=0.1-0.22	8872
101	Uncultured_phage	3fc3273bc56b36d7c67f808021eec9da	24	0.0180599595504	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__154839_phage	53520
102	Cyanophage	ad41b9a65623c6d4a1cff5cbb3349e92	2	0.013610581209	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620273_6003 /station=TARA_042 /depth=80 /filter=0-0.22	5918
103	Cyanophage	cb9b40de1fcb3da7b0f6eb62d1a1e6f5	159	0.164894676258	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|472341815|ref|NC_020857.1| Cyanophage MED4-117 genomic sequence	38834
104	MGII	f92922d3d161a9750092e666815d2d7b	1742	1.26781000898	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__157027	55337
105	SAR116	0f101ef24251f710f0bc1ff79080a2ef	32	0.00449422237321	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	NZ_AFXB01000006.1 SAR116 cluster alpha proteobacterium HIMB100 contig6, whole genome shotgun sequence	286759
106	SAR116	506e83bd223300ae6271d68a6fa5120b	23	0.0108548113358	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	NZ_AFXB01000007.1 SAR116 cluster alpha proteobacterium HIMB100 contig7, whole genome shotgun sequence	85335
107	Euryarchaeota	e3a1f2c87d440f6d995f6b0035b494bf	5	8.12601032041e-05	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|851114167|ref|NZ_LN515531.1| Methanobacterium formicicum genome assembly DSM1535, chromosome : chrI	2478074
108	MGII	ea618c6ddf391139c2c7c7bcb74d714f	8350	2.29934070965	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__172706	146253
109	Cyanophage	367bbaaa2e2f57c2d434092e94455763	4	0.0173127178065	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620094_1815 /station=TARA_039 /depth=25 /filter=0-0.22	9305
110	Cyanophage	a04b70aebc69aea82b0cd695cda86b35	658	2.10485314112	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620894_1263 /station=TARA_065 /depth=30 /filter=0.1-0.22	12590
111	Uncultured_phage	1e942354b8cefc0d11af69b4c6557b45	30	0.0189841976953	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__155537_phage	63643
112	MGII	ba8de44645a7ed6cca4c586892fbfc2f	825	1.05754060039	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__390204	31418
113	Euryarchaeota	ff8910ff99a4b250d5f3019ac143b1bd	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822990|dbj|BBBE01000019.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00019, whole genome shotgun sequence	17575
114	MGII	f0b26e0d7b784d572cdc58bfe2bb4ec1	2792	1.33502953666	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__154932	84226
115	Prochlorococcus	c3355f2daa823304da8a5f204955f2b2	2438	0.0532787225378	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome	1842899
116	MGII	339a11c9fbc20afce016d9ef6c789e96	13	0.00744907487184	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|482770381|gb|ARPJ01000001.1| Marine group II euryarchaeote SCGC AAA288-C18 A288C18DRAFT_2505694915.1_C, whole genome shotgun sequence	70285
117	MGII_virus	304524a2b6692ffb42363678ded8bace	3	0.00117308900899	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2619950_102	102994
118	Euryarchaeota	66dbb4bebc0fc361bfe961fc053fa3c1	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822998|dbj|BBBE01000011.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00011, whole genome shotgun sequence	79664
119	MGII_virus	1ab1e0133df14226dd7900da4f82e01d	417	0.158526482084	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__154566	105939
120	Euryarchaeota	6156c84e4535eca879979c338e2b67e9	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822968|dbj|BBBE01000041.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00041, whole genome shotgun sequence	503
121	MGII	656359dcbf52294a89fe80b0e0a543c6	21	0.396692263484	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__2441869	2132
122	SAR11_Phage	d5f367ab54b642e92d56052f007ee5cd	519	0.141916673806	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|460042436|ref|NC_020484.1| Pelagibacter phage HTVC008M, complete genome	147284
123	Euryarchaeota	d90b1fcd27a4bc0b91b8504d7b18043c	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|757142838|ref|NZ_AUMX01000001.1| [strain=DSM 4179], whole genome shotgun sequence	324318
124	MGII	b21a5bfca1812440d510ffc3e276ebed	2767	1.23129756706	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__157643	90504
125	Prochlorococcus	57328953415733bfc592ab8c8fad6940	2328	0.0555116935117	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome	1688963
126	MGII_virus	56e32ef9119d78737628d12f98db2f0e	52	0.0223793042186	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2621173_12	93579
127	Cyanophage	f2ca6439cbeb29ef429cb9dcc04efade	1026	0.216578661517	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|326781756|ref|NC_015279.1| Synechococcus phage S-SM2, complete genome	190789
128	Cyanophage	ffef92a620d53a5edcd431b12716af69	28512	6.44202219225	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|312281391|ref|NC_006884.2| Prochlorococcus phage P-SSM4, complete genome	178249
129	MGII_virus	ca46d0f32d64d17530afd51851c136d3	226	0.142742902174	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__155057	63764
130	MGII	082ebca091d9b65cc9324332993a777a	2633	1.34402238202	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	Eury_contig__182440	78898
131	MGII	0a4d42aa39ee1d656370599e4c958fc5	1795	1.10415611386	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__172640	65472
132	MGII	f2bdb09f7befeea6945c389b339735f0	712	0.970417996406	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__400168	29549
