bitscore	end_contig_154566	end_contig_155688	end_contig_156409	evalue	gapopen	length	mismatch	name1_contig_154566	name1_contig_155688	name1_contig_156409	name2_contig_154566	name2_contig_155688	pident	qend	qseqid	qstart	send	sseqid	sstart	start_contig_154566	start_contig_155688	start_contig_156409	query_contig	subject_contig
352.0	44412	94547.0	NA	1.8699999999999997e-123	3	291	127	gene_33_contig_154566	NA	NA	NA	gene_100_contig_155688	55.326	294	gene_33_contig_154566	5	297	gene_100_contig_155688	9	43450	93618.0	NA	contig_154566	contig_155688
366.0	45406	95439.0	NA	3.359999999999999e-131	0	234	70	gene_34_contig_154566	NA	NA	NA	gene_102_contig_155688	70.085	237	gene_34_contig_154566	4	238	gene_102_contig_155688	5	44693	94723.0	NA	contig_154566	contig_155688
89.0	45673	95693.0	NA	2.0899999999999998e-26	0	80	35	gene_35_contig_154566	NA	NA	NA	gene_103_contig_155688	56.25	80	gene_35_contig_154566	1	80	gene_103_contig_155688	1	45416	95439.0	NA	contig_154566	contig_155688
169.0	46365	96232.0	NA	8.68e-55	3	163	68	gene_36_contig_154566	NA	NA	NA	gene_104_contig_155688	54.601000000000006	188	gene_36_contig_154566	28	168	gene_104_contig_155688	10	45673	95705.0	NA	contig_154566	contig_155688
124.0	47575	99557.0	NA	5.68e-32	0	93	20	gene_37_contig_154566	NA	NA	NA	gene_105_contig_155688	78.495	270	gene_37_contig_154566	178	1002	gene_105_contig_155688	910	46349	96549.0	NA	contig_154566	contig_155688
85.5	48586	80420.0	NA	1.1199999999999999e-23	1	67	25	gene_39_contig_154566	NA	NA	NA	gene_86_contig_155688	59.701	72	gene_39_contig_154566	8	90	gene_86_contig_155688	24	48368	79701.0	NA	contig_154566	contig_155688
168.0	49365	44462.0	NA	9.409999999999999e-55	1	112	20	gene_40_contig_154566	NA	NA	NA	gene_66_contig_155688	76.786	259	gene_40_contig_154566	148	112	gene_66_contig_155688	7	48586	44124.0	NA	contig_154566	contig_155688
221.0	66779	15309.0	NA	1.1399999999999998e-76	0	140	35	gene_63_contig_154566	NA	NA	NA	gene_24_contig_155688	75.0	164	gene_63_contig_154566	25	140	gene_24_contig_155688	1	66279	14875.0	NA	contig_154566	contig_155688
90.9	16836	64702.0	NA	1.31e-24	3	97	41	gene_7_contig_154566	NA	NA	NA	gene_72_contig_155688	50.515	190	gene_7_contig_154566	97	143	gene_72_contig_155688	51	16246	64235.0	NA	contig_154566	contig_155688
778.0	80844	30990.0	NA	0.0	10	752	318	gene_85_contig_154566	NA	NA	NA	gene_51_contig_155688	51.995	785	gene_85_contig_154566	58	733	gene_51_contig_155688	1	78466	28759.0	NA	contig_154566	contig_155688
153.0	83192	34118.0	NA	5.769999999999998e-48	0	110	43	gene_91_contig_154566	NA	NA	NA	gene_57_contig_155688	60.909	110	gene_91_contig_154566	1	110	gene_57_contig_155688	1	82857	33030.0	NA	contig_154566	contig_155688
334.0	84900	35055.0	NA	8.729999999999996e-119	1	228	76	gene_93_contig_154566	NA	NA	NA	gene_58_contig_155688	66.22800000000001	227	gene_93_contig_154566	1	233	gene_58_contig_155688	6	84211	34354.0	NA	contig_154566	contig_155688
386.0	86361	36489.0	NA	2.5099999999999993e-133	3	391	183	gene_94_contig_154566	NA	NA	NA	gene_59_contig_155688	50.128	384	gene_94_contig_154566	1	462	gene_59_contig_155688	77	85189	35092.0	NA	contig_154566	contig_155688
214.0	86971	37249.0	NA	2.7899999999999995e-72	3	204	97	gene_95_contig_154566	NA	NA	NA	gene_60_contig_155688	50.49	204	gene_95_contig_154566	1	220	gene_60_contig_155688	21	86354	36584.0	NA	contig_154566	contig_155688
619.0	88467	38766.0	NA	0.0	5	503	191	gene_96_contig_154566	NA	NA	NA	gene_61_contig_155688	60.835	499	gene_96_contig_154566	2	506	gene_61_contig_155688	5	86968	37246.0	NA	contig_154566	contig_155688
207.0	19545	67136.0	NA	2.39e-71	0	149	52	gene_9_contig_154566	NA	NA	NA	gene_74_contig_155688	65.101	149	gene_9_contig_154566	1	149	gene_74_contig_155688	1	19096	66687.0	NA	contig_154566	contig_155688
112.0	7084	NA	97951.0	1.34e-27	3	128	50	NA	NA	gene_103_contig_154566	gene_4_contig_156409	NA	54.688	294	gene_103_contig_154566	174	257	gene_4_contig_156409	131	4487	NA	96497.0	contig_154566	contig_156409
555.0	92521	NA	24456.0	0.0	6	384	107	NA	NA	gene_17_contig_154566	gene_88_contig_156409	NA	69.531	377	gene_17_contig_154566	1	381	gene_88_contig_156409	1	91376	NA	23323.0	contig_154566	contig_156409
422.0	91373	NA	25847.0	4.679999999999998e-146	11	473	188	NA	NA	gene_18_contig_154566	gene_87_contig_156409	NA	51.163000000000004	460	gene_18_contig_154566	12	470	gene_87_contig_156409	17	89952	NA	24459.0	contig_154566	contig_156409
685.0	82125	NA	34319.0	0.0	9	604	223	NA	NA	gene_23_contig_154566	gene_82_contig_156409	NA	56.457	574	gene_23_contig_154566	1	594	gene_82_contig_156409	1	80284	NA	32577.0	contig_154566	contig_156409
286.0	68269	NA	45406.0	1.8099999999999998e-99	4	240	99	NA	NA	gene_34_contig_154566	gene_71_contig_156409	NA	56.25	236	gene_34_contig_154566	1	238	gene_71_contig_156409	1	67550	NA	44693.0	contig_154566	contig_156409
171.0	18293	NA	49365.0	7.76e-56	0	104	18	NA	NA	gene_40_contig_154566	gene_15_contig_156409	NA	82.69200000000001	259	gene_40_contig_154566	156	106	gene_15_contig_156409	3	17973	NA	48586.0	contig_154566	contig_156409
212.0	42034	NA	66779.0	2.549999999999999e-72	3	183	58	NA	NA	gene_63_contig_154566	gene_41_contig_156409	NA	58.47	165	gene_63_contig_154566	1	183	gene_41_contig_156409	1	41468	NA	66279.0	contig_154566	contig_156409
181.0	97062	NA	19545.0	6.9e-61	0	142	63	NA	NA	gene_9_contig_154566	gene_96_contig_156409	NA	55.63399999999999	148	gene_9_contig_154566	7	145	gene_96_contig_156409	4	96622	NA	19096.0	contig_154566	contig_156409
