,0
72,n_SAMEA2619962_2313
73,n_SAMEA2619962_238
74,n_SAMEA2619974_229
75,n_SAMEA2620004_3044
76,n_SAMEA2620014_177
77,n_SAMEA2620014_23
78,n_SAMEA2620027_12
79,n_SAMEA2620078_1066
80,n_SAMEA2620078_38
81,n_SAMEA2620078_50
82,n_SAMEA2620078_7852
83,n_SAMEA2620094_1815
84,n_SAMEA2620094_25
85,n_SAMEA2620094_9
86,n_SAMEA2620256_34
87,n_SAMEA2620273_4
88,n_SAMEA2620273_6003
89,n_SAMEA2620273_7202
90,n_SAMEA2620384_30
91,n_SAMEA2620812_6831
92,n_SAMEA2620852_5
93,n_SAMEA2620879_17
94,n_SAMEA2620879_23
95,n_SAMEA2620879_92
96,n_SAMEA2620894_1263
97,n_SAMEA2620947_215
98,n_SAMEA2620947_256
99,n_SAMEA2620947_89
100,n_SAMEA2620991_38
101,n_SAMEA2621033_64
102,n_SAMEA2621061_122
103,n_SAMEA2621085_54
104,n_SAMEA2621085_65
105,n_SAMEA2621085_75_2
106,n_SAMEA2621151_104
107,n_SAMEA2621151_40
108,n_SAMEA2621151_45
109,n_SAMEA2621173_12
110,n_SAMEA2621173_1423
111,n_SAMEA2621173_2106
112,n_SAMEA2621173_4401
113,n_SAMEA2621173_5
114,n_SAMEA2621173_6
115,n_SAMEA2621191_131
116,n_SAMEA2621271_44
117,n_SAMEA2622331_5402
118,n_SAMEA2622656_647526
119,n_SAMEA2622694_4368
120,n_SAMEA2622694_4896
121,n_SAMEA2622736_279440
122,n_SAMEA2622799_18
123,n_SAMEA2622799_215
124,n_SAMEA2622799_4583
125,n_SAMEA2622799_8590
126,n_SAMEA2622821_47
127,n_SAMEA2622821_608
128,n_SAMEA2622841_50
129,n_Synechococcus WH7803 complete genome sequence
130,"n_Synechococcus phage S-CBS1, complete genome"
131,"n_Synechococcus phage S-CBS3, complete genome"
132,"n_Synechococcus phage S-PM2, complete genome"
133,"n_Synechococcus phage S-RSM4, complete genome"
134,"n_Synechococcus phage S-SM2, complete genome"
135,"n_Synechococcus phage S-SSM7, complete genome"
136,"n_Synechococcus phage Syn19, complete genome"
137,"n_Synechococcus phage metaG-MbCM1, complete genome"
138,"n_Synechococcus sp. CC9311, complete genome"
139,"n_Synechococcus sp. CC9605, complete genome"
140,"n_Synechococcus sp. CC9902, complete genome"
141,n_Synechococcus sp. RCC307 genomic DNA sequence
142,n_Synechococcus sp. WH 8102 complete genome
143,"n_Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1"
144,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00001, whole genome shotgun sequence"
145,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00002, whole genome shotgun sequence"
146,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00003, whole genome shotgun sequence"
147,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00004, whole genome shotgun sequence"
148,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00005, whole genome shotgun sequence"
149,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00006, whole genome shotgun sequence"
150,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00007, whole genome shotgun sequence"
151,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00008, whole genome shotgun sequence"
152,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00009, whole genome shotgun sequence"
153,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00010, whole genome shotgun sequence"
154,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00011, whole genome shotgun sequence"
155,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00012, whole genome shotgun sequence"
156,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00013, whole genome shotgun sequence"
157,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00014, whole genome shotgun sequence"
158,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00015, whole genome shotgun sequence"
159,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00016, whole genome shotgun sequence"
160,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00017, whole genome shotgun sequence"
161,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00018, whole genome shotgun sequence"
162,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00019, whole genome shotgun sequence"
163,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00020, whole genome shotgun sequence"
164,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00021, whole genome shotgun sequence"
165,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00022, whole genome shotgun sequence"
166,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00023, whole genome shotgun sequence"
167,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00024, whole genome shotgun sequence"
168,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00025, whole genome shotgun sequence"
169,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00026, whole genome shotgun sequence"
170,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00027, whole genome shotgun sequence"
171,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00028, whole genome shotgun sequence"
172,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00029, whole genome shotgun sequence"
173,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00030, whole genome shotgun sequence"
174,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00031, whole genome shotgun sequence"
175,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00032, whole genome shotgun sequence"
176,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00033, whole genome shotgun sequence"
177,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00034, whole genome shotgun sequence"
178,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00035, whole genome shotgun sequence"
179,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00036, whole genome shotgun sequence"
180,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00037, whole genome shotgun sequence"
181,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00038, whole genome shotgun sequence"
182,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00039, whole genome shotgun sequence"
183,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00040, whole genome shotgun sequence"
184,"n_Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00041, whole genome shotgun sequence"
185,n_Uncultured marine group II euryarchaeote DeepAnt-15E7 genomic sequence
186,n_Uncultured marine group II/III euryarchaeote KM3_192_B10 genomic sequence
187,n_Uncultured marine group II/III euryarchaeote KM3_74_A11 genomic sequence
188,n_Uncultured marine group II/III euryarchaeote KM3_88_H06 genomic sequence
189,n_X_contig__155773
190,"n_[strain=DSM 4179], whole genome shotgun sequence"
191,n_contig__1205646
192,n_contig__1205679
193,n_contig__1205742
194,n_contig__1209332
195,n_contig__1209387
196,n_contig__152209
197,n_contig__152245
198,n_contig__152276
199,n_contig__152290
200,n_contig__152292
201,n_contig__152314
202,n_contig__152381_phage
203,n_contig__152495_phage
204,n_contig__154564
205,n_contig__154566
206,n_contig__154592
207,n_contig__154640
208,n_contig__154676
209,n_contig__154680
210,n_contig__154776
211,n_contig__154829_alpha_phage
212,n_contig__154839_phage
213,n_contig__154932
214,n_contig__154940
215,n_contig__155031_phage
216,n_contig__155057
217,n_contig__155189
218,n_contig__155255_phage
219,n_contig__155256_phage
220,n_contig__155537_phage
221,n_contig__155598
222,n_contig__155688
223,n_contig__155828
224,n_contig__155937
225,n_contig__156027
226,n_contig__156040
227,n_contig__156190_phage
228,n_contig__156257
229,n_contig__156293_SAR116_phage
230,n_contig__156409
231,n_contig__156469
232,n_contig__156547_phage
233,n_contig__156581
234,n_contig__156856
235,n_contig__156895
236,n_contig__157027
237,n_contig__157361
238,n_contig__157517
239,n_contig__157565
240,n_contig__157638
241,n_contig__157643
242,n_contig__157656
243,n_contig__157756
244,n_contig__157847
245,n_contig__158275_phage
246,n_contig__158356
247,n_contig__158470
248,n_contig__158556
249,n_contig__158854
250,n_contig__159728
251,n_contig__160110_phage
252,n_contig__160241
253,n_contig__162378
254,n_contig__164390_phage
255,n_contig__167199
256,n_contig__172037
257,n_contig__172446
258,n_contig__172500
259,n_contig__172640
260,n_contig__172706
261,n_contig__173007
262,n_contig__173319
263,n_contig__173937
264,n_contig__175248
265,n_contig__175897
266,n_contig__176529_SAR116_phage
267,n_contig__2314329
268,n_contig__2441869
269,n_contig__2447543
270,n_contig__2498119
271,n_contig__3236544
272,n_contig__344836
273,n_contig__347528
274,n_contig__367509
275,n_contig__367655
276,n_contig__389883
277,n_contig__390204
278,n_contig__400168
279,n_contig__402223
280,n_contig__402642
281,n_contig__403162
282,n_contig__412943
283,n_contig__418747
284,Station
285,LONGITUDE
286,LATITUDE
287,Depth
288,Protocol Label
289,Fraction
290,Region
291,ENA-SAMPLE
