,Station,LONGITUDE,LATITUDE,Depth,Protocol Label,Fraction,RUN,Region,ENA-SAMPLE,genome_name,genome_group,variable,val
43700,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2620273_7202 /station=TARA_042 /depth=80 /filter=0-0.22,Cyanophage,n_count,0.0503299760597
43701,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__157847,MGII,n_count,0.0875998002562
43702,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__152290,MGII,n_count,0.0938377896517
43703,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2620004_3044 /station=TARA_038 /depth=5 /filter=0.1-0.22,Cyanophage,n_count,0.00350426738075
43705,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.033919364307
43706,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,Eury_MGII_archaea contig__155189,MGII,n_count,0.0141430681593
43708,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__172500,MGII,n_count,0.00602026950592
43709,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,1.22099270968
43710,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__173937,MGII,n_count,0.170104962789
43711,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2621151_104,MGII_virus,n_count,0.00153095742542
43712,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.026670696465
43713,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__1205646,MGII,n_count,0.00177683397417
43714,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|326782024|ref|NC_015280.1| Prochlorococcus phage P-HM1, complete genome",Cyanophage,n_count,0.0544999866256
43715,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__154932,MGII,n_count,0.0261415866915
43716,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822984|dbj|BBBE01000025.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00025, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43717,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,0.0300115300341
43718,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2622736_279440 /station=TARA_123 /depth=150 /filter=0.1-0.22,Cyanophage,n_count,0.073829711619
43719,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__156895,MGII,n_count,0.00277256758986
43721,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__156040,MGII,n_count,0.380851440975
43722,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932823008|dbj|BBBE01000001.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00001, whole genome shotgun sequence",Euryarchaeota,n_count,0.00124005670346
43723,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|288892655|gb|CP001899.1| Ferroglobus placidus DSM 10642, complete genome",Euryarchaeota,n_count,0.000316303200778
43724,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__155598,MGII,n_count,0.00818515008643
43725,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__156856,MGII,n_count,0.00791343163106
43726,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2620879_23,MGII_virus,n_count,0.0120403549925
43727,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822974|dbj|BBBE01000035.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00035, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43728,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822977|dbj|BBBE01000032.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00032, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43729,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822990|dbj|BBBE01000019.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00019, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43730,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"NZ_AFXB01000003.1 SAR116 cluster alpha proteobacterium HIMB100 contig3, whole genome shotgun sequence",SAR116,n_count,0.0
43731,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"NZ_AFXB01000001.1 SAR116 cluster alpha proteobacterium HIMB100 contig1, whole genome shotgun sequence",SAR116,n_count,0.014711362268
43732,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822973|dbj|BBBE01000036.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00036, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43733,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2620014_177 /station=TARA_038 /depth=5 /filter=0-0.22,Cyanophage,n_count,0.00683110350172
43734,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932823004|dbj|BBBE01000005.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00005, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43735,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"ENA|CM001443|CM001443.1 uncultured marine group II euryarchaeote chromosome, whole genome shotgun sequence. ",MGII,n_count,0.0500490496342
43736,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__367655,MGII,n_count,0.000577484839832
43737,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,gi|472340512|ref|NC_020847.1| Cyanophage MED4-184 genomic sequence,Cyanophage,n_count,0.000307207409903
43738,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932823000|dbj|BBBE01000009.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00009, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43739,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2619923_17,MGII_virus,n_count,0.000572787694191
43740,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|509140683|ref|NC_021330.1| Halovirus HCTV-1, complete genome",Halovirus,n_count,0.0
43741,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,gi|472341815|ref|NC_020857.1| Cyanophage MED4-117 genomic sequence,Cyanophage,n_count,0.0012127865684
43742,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2620078_1066 /station=TARA_039 /depth=5 /filter=0-0.22,Cyanophage,n_count,0.00652634290824
43743,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2619888_3130 /station=TARA_034 /depth=5 /filter=0.1-0.22,Cyanophage,n_count,0.00451773175994
43744,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__155688,MGII_virus,n_count,0.000338074281922
43745,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__1205679,MGII,n_count,0.103198294965
43746,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|294083570:675264-676151 Candidatus Puniceispirillum marinum IMCC1322, complete genome",SAR116,n_count,0.0
43747,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822976|dbj|BBBE01000033.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00033, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43748,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__157361,MGII,n_count,0.015238515591
43749,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|460042324|ref|NC_020482.1| Pelagibacter phage HTVC011P, complete genome",SAR11_Phage,n_count,0.00973305195707
43750,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932823003|dbj|BBBE01000006.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00006, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43751,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.060516889124
43752,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.0282263590866
43753,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822994|dbj|BBBE01000015.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00015, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43754,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,0.0706649552354
43755,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__2441869,MGII,n_count,0.00552267279519
43756,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2622694_4368 /station=TARA_122 /depth=115 /filter=0.1-0.22,Cyanophage,n_count,0.0690110005371
43757,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2622799_8590 /station=TARA_124 /depth=120 /filter=0.1-0.22,Cyanophage,n_count,0.00759267348015
43758,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822998|dbj|BBBE01000011.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00011, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43759,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|255928922|ref|NC_013085.1| Synechococcus phage S-RSM4, complete genome",Cyanophage,n_count,0.00678168564661
43760,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.0923990538297
43761,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|443404569|ref|NC_020158.1| Halovirus HVTV-1, complete genome",Halovirus,n_count,0.0
43762,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|511534117|ref|NC_021471.1| Halovirus HSTV-1, complete genome",Halovirus,n_count,0.0
43763,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__389883,MGII,n_count,0.469013284099
43764,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2620812_6831 /station=TARA_064 /depth=5 /filter=0-0.22,Cyanophage,n_count,0.0273005527643
43765,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__2314329,MGII,n_count,0.00418122812476
43766,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|160338813|gb|CP000866.1| Nitrosopumilus maritimus SCM1, complete genome",Crenarchaeota,n_count,0.876559899994
43767,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2622656_647526 /station=TARA_122 /depth=5 /filter=0.1-0.22,Cyanophage,n_count,0.0731414443808
43768,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932823006|dbj|BBBE01000003.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00003, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43769,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|326783979|ref|NC_015288.1| Prochlorococcus phage Syn1, complete genome",Cyanophage,n_count,0.00227856649377
43770,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822982|dbj|BBBE01000027.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00027, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43771,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__3236544,MGII,n_count,0.00485940503481
43772,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__2447543,MGII,n_count,0.0
43773,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__157643,MGII,n_count,0.485393535843
43774,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__152276,MGII,n_count,0.106836965437
43775,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|326783215|ref|NC_015285.1| Prochlorococcus phage Syn33, complete genome",Cyanophage,n_count,0.0104039252575
43776,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__157656,MGII,n_count,0.0426399217747
43777,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|126177952|ref|NC_009051.1| Methanoculleus marisnigri JR1, complete genome",Euryarchaeota,n_count,0.00719830332783
43778,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2621173_4401 /station=TARA_072 /depth=100 /filter=0-0.22,Cyanophage,n_count,0.00928136402281
43779,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|58532811|ref|NC_006820.1| Synechococcus phage S-PM2, complete genome",Cyanophage,n_count,0.00437908448722
43780,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"NZ_AFXB01000006.1 SAR116 cluster alpha proteobacterium HIMB100 contig6, whole genome shotgun sequence",SAR116,n_count,0.0119895341126
43781,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"NZ_AFXB01000008.1 SAR116 cluster alpha proteobacterium HIMB100 contig8, whole genome shotgun sequence",SAR116,n_count,0.00123757156764
43782,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"NZ_AFXB01000010.1 SAR116 cluster alpha proteobacterium HIMB100 contig10, whole genome shotgun sequence",SAR116,n_count,0.0674193802085
43783,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"NZ_AFXB01000005.1 SAR116 cluster alpha proteobacterium HIMB100 contig5, whole genome shotgun sequence",SAR116,n_count,0.0172878969374
43784,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|294083570|ref|NC_014010.1| Candidatus Puniceispirillum marinum IMCC1322, complete genome",SAR116,n_count,0.0834992741759
43785,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,Z1,Group_D,n_count,0.000533306386418
43786,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|851114167|ref|NZ_LN515531.1| Methanobacterium formicicum genome assembly DSM1535, chromosome : chrI",Euryarchaeota,n_count,0.00108332081893
43788,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|331028007|ref|NC_015465.1| Synechococcus phage S-CBS3, complete genome",Cyanophage,n_count,0.0
43789,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822978|dbj|BBBE01000031.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00031, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43790,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822997|dbj|BBBE01000012.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00012, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43791,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__156581,MGII,n_count,0.556457590409
43792,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__157027,MGII,n_count,0.0414911539814
43793,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__167199,MGII,n_count,0.000316693251549
43794,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2620078_7852 /station=TARA_039 /depth=5 /filter=0-0.22,Cyanophage,n_count,0.0250312999495
43795,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932823005|dbj|BBBE01000004.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00004, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43797,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,gi|663530238|gb|KF901159.1| Uncultured marine group II/III euryarchaeote KM3_88_H06 genomic sequence,MGII,n_count,0.240797822769
43798,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2620273_6003 /station=TARA_042 /depth=80 /filter=0-0.22,Cyanophage,n_count,0.0258645486974
43799,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|326783659|ref|NC_015287.1| Synechococcus phage S-SSM7, complete genome",Cyanophage,n_count,0.100968549126
43800,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__154776,MGII,n_count,0.0507368139863
43801,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__412943,MGII,n_count,0.0724422693939
43802,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__155773,MGII_virus,n_count,0.000415765430361
43803,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__158556,MGII,n_count,0.351049276019
43805,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__156257,MGII,n_count,0.0183321519748
43806,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__154680,MGII_virus,n_count,0.0316123691518
43807,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822980|dbj|BBBE01000029.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00029, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43808,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__1205742,MGII,n_count,0.0935959411079
43809,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__155828,MGII,n_count,0.131430940662
43810,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|971760222|ref|NC_028955.1| Prochlorococcus phage P-TIM68, complete genome",Cyanophage,n_count,0.0518435763349
43811,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2621151_40,MGII_virus,n_count,0.0061939889875
43813,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932822968|dbj|BBBE01000041.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00041, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
43814,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2621085_65,MGII_virus,n_count,0.00688282756365
43815,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|356870794|ref|NC_016164.1| Synechococcus phage S-CBS1, complete genome",Cyanophage,n_count,0.0
